Company,Category,City,State,Country,"OUTSIDE 
USA",Website,LinkedIn,Crunchbase,Employees,"Year 
Founded",AKA/DBA,Name Variants,Acquired By,Original Categories,Source Sheets,# Sheets,Notes,REVIEW,Description,city_clean,state_clean,description,confidence,needs_review,scrape_status
24M Technologies,Energy & Climate,Cambridge,MA,USA,,https://24-m.com/,https://www.linkedin.com/company/24m-technologies/,https://www.crunchbase.com/organization/24m-technologies,132,,,,,Battery Production,ALL COMPANIES MERGED ,1,,,"24M Technologies develops and licenses advanced battery technology, including separators, electrolytes, electrodes, and pack design systems, aimed at improving performance, cost, safety, and recyclability for EV, energy storage, and consumer electronics applications.",Cambridge,MA,"24M Technologies develops and licenses advanced battery technology, including separators, electrolytes, electrodes, and pack design systems, aimed at improving performance, cost, safety, and recyclability for EV, energy storage, and consumer electronics applications.",low,False,ok
4D Molecular Therapeutics,Medical Devices,Emeryville,CA,USA,,https://4dmoleculartherapeutics.com/,https://www.linkedin.com/company/4d-molecular-therapeutics-llc/,https://www.crunchbase.com/organization/4d-molecular-therapeutics,213,,,,,,ALL COMPANIES MERGED ,1,,,"4D Molecular Therapeutics is a clinical-stage biotechnology company that develops genetic medicines using directed evolution to create customized viral vectors, with pipeline programs focused on retinal diseases (such as wet AMD and diabetic macular edema) and pulmonary diseases (such as cystic fibrosis).",Emeryville,CA,"4D Molecular Therapeutics is a clinical-stage biotechnology company that develops genetic medicines using directed evolution to create customized viral vectors, with pipeline programs focused on retinal diseases (such as wet AMD and diabetic macular edema) and pulmonary diseases (such as cystic fibrosis).",low,False,ok
6 River Systems,Robotics & Autonomy,Waltham,MA,USA,,https://6river.com/,https://www.linkedin.com/company/6-river-systems/,https://www.crunchbase.com/organization/6-river-systems,143,2015,,,Shopify,"Makes collaborative mobile robots and fulfillment software for warehouse operations. | Manufacturer of autonomous mobile robots (AMRs) built with ROS, artificial intelligence and operational experience. Through the use of robotics232, they make warehouses more efficient233. | logistics, mobile base",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,Multi-category signal: Transportation & Mobility,"6 River Systems, now rebranded as Ocado Mobile Robot System (OMRS) after being acquired by Ocado Group in 2023, provides autonomous mobile robot (AMR) systems and AI-powered warehouse software to automate fulfillment operations including picking, sorting, putaway, and replenishment.",Waltham,MA,"6 River Systems, now rebranded as Ocado Mobile Robot System (OMRS) after being acquired by Ocado Group in 2023, provides autonomous mobile robot (AMR) systems and AI-powered warehouse software to automate fulfillment operations including picking, sorting, putaway, and replenishment.",low,False,ok
9 Mothers,Defense,Austin,TX,USA,,https://9mothers.com/,https://www.linkedin.com/company/9-mothers/,,7,2024,,,,DEFENSE | Counter Drone | Machine Gun,DEFENSE COMPANIES,1,,,"9 Mothers Defense develops AI-powered counter-unmanned aerial systems (C-sUAS), including a point defense turret designed to detect, track, and neutralize small FPV drones at close range using acoustic and visual targeting.",Austin,TX,"9 Mothers Defense develops AI-powered counter-unmanned aerial systems (C-sUAS), including a point defense turret designed to detect, track, and neutralize small FPV drones at close range using acoustic and visual targeting.",low,False,ok
901D,Aerospace & Space,,,USA,,www.901d.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,"901D, operating under Curtiss-Wright Defense Solutions, designs and manufactures mission-driven enclosures, consoles, and workstations for defense and military applications.",,,"901D, operating under Curtiss-Wright Defense Solutions, designs and manufactures mission-driven enclosures, consoles, and workstations for defense and military applications.",low,True,ok
Aalo,Energy & Climate,Austin,TX,USA,,https://www.aalo.com/,https://www.linkedin.com/company/aalo-atomics/,https://www.crunchbase.com/organization/aalo-atomics,120,2023,Aalo Atomics,,,"Climate | DEFENSE | Develops small modular nuclear reactors for clean, reliable grid-scale power generation. | Energy Efficiency (Modular Systems) | Grid / Long Duration Energy Storage | Nuclear | Nuclear Energy | Small Modular Nuclear Reactors | Thermal, Fluids, Turbomachinery & Energy",ALL COMPANIES MERGED | Energy Targets (X- AgTech) | JP MOrgan Space List | MASTER - Combined_Account Owner,4,,,,Austin,TX,,low,True,blocked_or_timeout
a.i. solutions,Aerospace & Space,Lanham,MD,USA,,https://ai-solutions.com/,https://www.linkedin.com/company/aisolutionsinc/,https://www.crunchbase.com/organization/a-i-solutions-32ab,,1996,,,,"Aerospace | Mechanical Engineering, Software, Technical Support | Providing mission engineering, launch services, and astrodynamics software to the space industry.",SPACE & DEFENSE COMPANIES | Sheet1,2,,"Multi-category signal: Communications, Compute & Networking","a.i. solutions provides engineering services and astrodynamics software for space missions, including their flagship FreeFlyer software used for flight dynamics, orbit determination, maneuver planning, and ground system integration across missions like the ISS, JWST, and Lunar Gateway.",Lanham,MD,"a.i. solutions provides engineering services and astrodynamics software for space missions, including their flagship FreeFlyer software used for flight dynamics, orbit determination, maneuver planning, and ground system integration across missions like the ISS, JWST, and Lunar Gateway.",low,False,ok
A2G,Aerospace & Space,Titusville,FL,USA,,https://www.a2gintl.com/,https://www.linkedin.com/company/a2gintl/,,,2005,,,,,SPACE & DEFENSE COMPANIES | Sheet1,2,,Classified by source sheet only — verify,"A2G International provides effects-based airborne Intelligence, Surveillance and Reconnaissance (ISR) services, including multi-sensor manned and unmanned aerial surveillance, air-to-ground integration, and RDT&E support for defense, security, and special operations customers worldwide.",Titusville,FL,"A2G International provides effects-based airborne Intelligence, Surveillance and Reconnaissance (ISR) services, including multi-sensor manned and unmanned aerial surveillance, air-to-ground integration, and RDT&E support for defense, security, and special operations customers worldwide.",low,False,ok
A2Z Drone Delivery,Aerospace & Space,Torrance,CA,USA,,https://www.a2zdronedelivery.com/,https://www.linkedin.com/company/a2z-drone-delivery/,https://www.crunchbase.com/organization/a2z-drone-delivery,8,,A2Z,,,Aircraft (Commercial Drones),ALL COMPANIES MERGED ,1,,,"A2Z Drone Delivery designs and manufactures commercial drone systems, including autonomous delivery drones and automated docking/charging infrastructure (AirDocks), supporting applications such as last-mile delivery, patrol, medical delivery, and search and rescue operations.",Torrance,CA,"A2Z Drone Delivery designs and manufactures commercial drone systems, including autonomous delivery drones and automated docking/charging infrastructure (AirDocks), supporting applications such as last-mile delivery, patrol, medical delivery, and search and rescue operations.",high,False,ok
A&K Robotics,Robotics & Autonomy,Vancouver,BC,Canada,yes,https://www.aandkrobotics.com/,https://www.linkedin.com/company/a&k-robotics,https://www.crunchbase.com/organization/a-k-robotics,18,2015,,,,"Design electric micro-mobility platforms and self-driving robotic pods to help improve quality of life and positively impact the environment. Their autonomous robots empower people with limited mobility to travel and navigate long distances in places such as airports, malls and museums. An image processing pipeline for ROS for A&K Robotics (see akrobotics/image_pipeline).",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Transportation & Mobility,"A&K Robotics designs electric micro-mobility platforms and AI-enabled self-driving robotic pods (Cruz™) to transport people with limited mobility through large venues such as airports, malls, and museums.",Vancouver,BC,"A&K Robotics designs electric micro-mobility platforms and AI-enabled self-driving robotic pods (Cruz™) to transport people with limited mobility through large venues such as airports, malls, and museums.",medium,False,ok
AAR Corp.,Defense,Wood Dale,IL,USA,,https://www.aarcorp.com/,https://www.linkedin.com/company/aar-corp/,https://www.crunchbase.com/organizatioar-corp,,1951,,,,"Aerospace, National Security",SPACE & DEFENSE COMPANIES | Sheet1,2,,Multi-category signal: Aerospace & Space,"AAR Corp. is an independent provider of aviation aftermarket services including aircraft parts supply, airframe and component maintenance/repair/overhaul (MRO), aviation software solutions, and government defense support programs to commercial airlines and government customers worldwide.",Wood Dale,IL,"AAR Corp. is an independent provider of aviation aftermarket services including aircraft parts supply, airframe and component maintenance/repair/overhaul (MRO), aviation software solutions, and government defense support programs to commercial airlines and government customers worldwide.",high,False,ok
AALTO,Aerospace & Space,Farnborough,,United Kingdom,yes,https://www.aaltohaps.com/,https://www.linkedin.com/company/aalto-haps/,https://www.crunchbase.com/organization/aalto-haps,167,,,,,"Haps | Geospatial, Satellite Communication, Telecommunications",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,"Multi-category signal: Communications, Compute & Networking","AALTO develops and operates Zephyr, the world's leading High Altitude Platform Station (HAPS), a solar-powered stratospheric aircraft that delivers connectivity and Earth observation services to commercial and government customers from the stratosphere.",Farnborough,,"AALTO develops and operates Zephyr, the world's leading High Altitude Platform Station (HAPS), a solar-powered stratospheric aircraft that delivers connectivity and Earth observation services to commercial and government customers from the stratosphere.",low,True,ok
Abrasive Form,Aerospace & Space,,,USA,,www.abrasive-form.com,http://www.linkedin.com/company/abrasive-form,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
AAC Clyde Space,Aerospace & Space,Uppsala,,Sweden,yes,http://www.aac-clyde.space/,https://www.linkedin.com/company/aac-clyde-space/,https://www.crunchbase.com/organization/aac-clyde-space,163,,,,,"Space Hardware-Satellites | Aerospace, Product Design",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,,"AAC Clyde Space is a New Space company that designs and manufactures small satellites and satellite components, and provides space-based data services including Earth Observation, communications, and navigation to businesses, governments, and educational organizations.",Uppsala,,"AAC Clyde Space is a New Space company that designs and manufactures small satellites and satellite components, and provides space-based data services including Earth Observation, communications, and navigation to businesses, governments, and educational organizations.",high,True,ok
AccelerComm Ltd,Semiconductors,Southampton,,United Kingdom,yes,https://www.accelercomm.com/,https://www.linkedin.com/company/accelercomm-ltd/,https://www.crunchbase.com/organization/accelercomm,42,,,,,Communications | Semiconductor,MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,"Multi-category signal: Communications, Compute & Networking",,Southampton,,,low,True,blocked_or_timeout
Aalyria,"Communications, Compute & Networking",Mountain View,CA,USA,,https://www.aalyria.com/,https://www.linkedin.com/company/aalyria/,https://www.crunchbase.com/organizatioalyria,83,2021,,,,"Satellite Communications / Constellations | Internet, Network Security, Satellite Communication, Telecommunications | Space-Based Military Tech | Laser comms, secure sat connectivity | Software-In Space",ALL COMPANIES MERGED  | Defense Targets | MASTER | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source -MARKET MAP COMPANIES,7,,Multi-category signal: Aerospace & Space; Defense,"Aalyria provides network orchestration software (Spacetime) and free-space optical communication hardware (Tightbeam) that enable commercial and government customers to manage high-throughput, directional wireless networks across moving platforms including satellites, aircraft, and ground vehicles.",Mountain View,CA,"Aalyria provides network orchestration software (Spacetime) and free-space optical communication hardware (Tightbeam) that enable commercial and government customers to manage high-throughput, directional wireless networks across moving platforms including satellites, aircraft, and ground vehicles.",low,False,ok
ABL Space Systems,Aerospace & Space,El Segundo,CA,USA,,http://ablspacesystems.com,https://www.linkedin.com/company/abl-space-systems/,https://www.crunchbase.com/organization/abl-space-systems,144,2017,ABL Space Systems Co.,,,"Aerospace - Space Systems | Launch Vehicles | Aerospace (New) | Orbital / Small-Med Launch | Aerospace, Information Technology, Satellite Communication | Aerospace / Defense | Space Systems | Space (Launch Vehicles) | Space | Developing innovative launch vehicles and launch systems",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1,4,,"Multi-category signal: Communications, Compute & Networking; Defense",ABL Space Systems is an aerospace company that develops launch vehicles and space systems for delivering payloads to orbit.,El Segundo,CA,ABL Space Systems is an aerospace company that develops launch vehicles and space systems for delivering payloads to orbit.,low,False,ok
Above Space,Aerospace & Space,Huntsville,Alabama,USA,,https://orbitalassembly.com/,https://www.linkedin.com/company/abovespace/,https://www.crunchbase.com/organization/orbital-assembly,,2019,Above Space,,,Aviation and Aerospace Component Manufacturing,SPACE & DEFENSE COMPANIES | Sheet1,2,,,"ABOVE: Space Development Corporation develops commercial on-orbit platforms, satellite buses, and space stations for low Earth orbit, cislunar space, and beyond, offering hosted payload services, mission consulting, and proprietary space technologies to commercial and government customers.",Huntsville,Alabama,"ABOVE: Space Development Corporation develops commercial on-orbit platforms, satellite buses, and space stations for low Earth orbit, cislunar space, and beyond, offering hosted payload services, mission consulting, and proprietary space technologies to commercial and government customers.",high,False,ok
Abyss Defense Industries,Defense,Los Angeles,CA,USA,,https://www.abyssdefense.com/,,,,2023,,,,DEFENSE | Maritime | Welding,DEFENSE COMPANIES,1,,"Multi-category signal: Maritime, Construction & Heavy Industry",,Los Angeles,CA,,low,True,ok
1st Choice Aerospace,Aerospace & Space,,,USA,,www.firstchoice.aero,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,blocked_or_timeout
Accerion,Robotics & Autonomy,Venlo,,Netherlands,yes,https://accerion.tech/,https://www.linkedin.com/company/accerion/,https://www.crunchbase.com/organization/accerion,10,2015,Unconstrained Robotics,,,"Make infrastructure-free positioning technology for mobile robots and AGVs. Triton2, simplify high-performance AMR functions in logistics. ROS driver for Interfacing with Triton sensor (see accerion-ros-node).",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Transportation & Mobility; Electronics,"Accerion develops infrastructure-free localization technology for mobile robots and AGVs, providing sub-millimeter accuracy positioning by scanning existing warehouse or factory floors. Their flagship product, Triton, enables accurate navigation in dynamic environments without requiring additional infrastructure.",Venlo,,"Accerion develops infrastructure-free localization technology for mobile robots and AGVs, providing sub-millimeter accuracy positioning by scanning existing warehouse or factory floors. Their flagship product, Triton, enables accurate navigation in dynamic environments without requiring additional infrastructure.",high,True,ok
Accra Manufacturing,Advanced Manufacturing,,,USA,,www.accramfg.com,http://www.linkedin.com/company/accra-manufacturing-inc,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,blocked_or_timeout
ACADIA Pharmaceuticals,Medical Devices,San Diego,CA,USA,,https://acadia.com/en-us,http://www.linkedin.com/company/acadia-pharmaceuticals,https://www.crunchbase.com/organization/acadia-pharmaceuticals,986,,Receptor Technologies,,,,ALL COMPANIES MERGED ,1,,,,San Diego,CA,,low,True,ok
Acceliot,"Communications, Compute & Networking",Huntington Beach,CA,USA,,https://www.acceliot.com/,https://www.linkedin.com/company/acceliot/,,6,2019,,,,"Information Services, Information Technology, Internet of Things, Software",MASTER - Combined_Account Owner | Source - SoCal Hard Tech,2,,,"Acceliot develops and sells enterprise RFID and real-time location system (RTLS) hardware and software solutions for asset tracking, locating, and management across industries including automotive, logistics, healthcare, and warehousing.",Huntington Beach,CA,"Acceliot develops and sells enterprise RFID and real-time location system (RTLS) hardware and software solutions for asset tracking, locating, and management across industries including automotive, logistics, healthcare, and warehousing.",high,False,ok
Aadi Space,Aerospace & Space,San Jose,CA,USA,,https://www.aadi.space/,https://www.linkedin.com/company/aadispace/,https://www.crunchbase.com/organization/aadi-space,,2023,"Aadi Space, AadiSpace",,,Space Research and Technology,SPACE & DEFENSE COMPANIES | Sheet1,2,,,,San Jose,CA,,low,True,ok
Acceleration Robotics,Robotics & Autonomy,Vitoria-Gasteiz,,Spain,yes,https://accelerationrobotics.com/,https://www.linkedin.com/company/accelerationrobotics/,https://www.crunchbase.com/organization/acceleration-robotics,8,2021,,,,"Hardware Acceleration solutions for robots using ROS 2. Use the ROS 2 perception stack actively in customer projects and serve ROBOTCORE® Perception, an optimized robotic perception stack that leverages hardware acceleration to provide a speedup in perception computations (while remaining API-compatible with the default ROS 2 perception stack).",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Electronics,,Vitoria-Gasteiz,,,low,True,ok
Acquire,"Communications, Compute & Networking",San Francisco,CA,USA,,https://acquire.app/,,https://www.crunchbase.com/organization/acquire-app,,2020,,,,"Other | E-Commerce, Fraud Detection, Mobile Payments, Payments, Shopping, Software",MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1,3,,,,San Francisco,CA,,low,True,blocked_or_timeout
Accio Robotics,Robotics & Autonomy,Bangalore,,India,yes,https://acciorobotics.com/,https://www.linkedin.com/company/acciorobotics,https://www.crunchbase.com/organization/accio-robotics,29,2019,Illumnify Technologies Private Limited,,,Design and manufacture of state-of-the-art Robotics Automation solutions. Hiring ROS engineers (Robotics Software Engineer).,MASTER - Combined_Account Owner | Robotics,2,,,,Bangalore,,,low,True,ok
Acclaim Technical Services,Defense,Reston,VA,USA,,https://acclaimtechnical.com/,https://www.linkedin.com/company/acclaim-technical-services/,https://www.crunchbase.com/organization/acclaim-technical-services,,2000,,,,Defense,SPACE & DEFENSE COMPANIES | Sheet1,2,,,,Reston,VA,,low,True,ok
Accelerating Evolution,Robotics & Autonomy,Beijing,,China,yes,https://www.boosterobotics.com/,https://www.linkedin.com/company/booster-robotics,,8,2023,,,,"Booster Robotics is a world-renowned humanoid robot company, providing developers with stable and user-friendly humanoid robots as well as efficient development tools, thereby boosting the implementation of embodied AI. | Robotics, Artificial Intelligence",MASTER - Combined_Account Owner | Robotics,2,,,"Booster Robotics designs and manufactures humanoid robots (Booster T1 and K1) aimed at developers, scientific research, and education, providing hardware platforms, operating systems, and development tools to advance embodied intelligence.",Beijing,,"Booster Robotics designs and manufactures humanoid robots (Booster T1 and K1) aimed at developers, scientific research, and education, providing hardware platforms, operating systems, and development tools to advance embodied intelligence.",high,True,ok
Ace Aeronautics,Industrial & Factory Infrastructure,Guntersville,AL,USA,,https://aceaero.com/,https://www.linkedin.com/company/ace-aeronautics-llc/,https://www.crunchbase.com/organization/ace-aeronautics,,2015,ACE,,,"Aerospace, Industrial Engineering, Manufacturing, Sales",SPACE & DEFENSE COMPANIES | Sheet1,2,,Multi-category signal: Aerospace & Space; Advanced Manufacturing,"Ace Aeronautics provides avionics and airframe solutions for commercial and government aviation customers worldwide, offering COTS/MOTS products for fixed and rotary wing aircraft to address avionics obsolescence and capability gaps, along with engineering, manufacturing, and maintenance services.",Guntersville,AL,"Ace Aeronautics provides avionics and airframe solutions for commercial and government aviation customers worldwide, offering COTS/MOTS products for fixed and rotary wing aircraft to address avionics obsolescence and capability gaps, along with engineering, manufacturing, and maintenance services.",high,False,ok
Active Surfaces,Energy & Climate,,,USA,,,,,,,,,,Energy | Novel Solar Cells,SPACE & DEFENSE COMPANIES | Sheet1,2,,,,,,,low,True,no_url
Ace Clearwater Enterprises,Aerospace & Space,,,USA,,aceclearwater.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
Active8 Robots,Robotics & Autonomy,Bath,,United Kingdom,yes,https://www.active8robots.com/,https://www.linkedin.com/company/active8-robots/,https://www.crunchbase.com/organization/active8-robots,10,2013,,,,The company uses the ROS Manipulation stack (MoveIt) in the AR10 Robotic Hand.,MASTER - Combined_Account Owner | Robotics,2,,,,Bath,,,low,True,blocked_or_timeout
Acutec Precision Aerospace,Aerospace & Space,,,USA,,,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,no_url
ACEINNA,Robotics & Autonomy,Tewksbury,MA,USA,,http://www.aceinna.com/,https://www.linkedin.com/company/aceinna/,https://www.crunchbase.com/organization/aceinna,23,2017,,,,"Create sensing solutions for the development of innovative Inertial Measurement Unit (IMU) and current sensing technologies for cars, robots and other autonomous applications. ROS driver for Aceinna OpenRTK products (see aceinna_openrtk_ros_driver)1.",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,,Tewksbury,MA,,low,True,ok
Acutronic Robotics,Robotics & Autonomy,Zürich,,Switzerland,yes,https://www.acutronicrobotics.com/,,https://www.crunchbase.com/organization/acutronic-robotics,,2016,Acutronic Link Robotics AG,,,DARPA and Sony backed company offering modularity for industrial robots. ROS 2-native hardware components for robots. System integration. H-ROS (Hardware Robot Operating System).,MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Electronics; Industrial & Factory Infrastructure,,Zürich,,,low,True,blocked_or_timeout
ACE Thermal Systems,Aerospace & Space,Thornton,CO,USA,,www.acethermalsystems.com,http://www.linkedin.com/company/ace-thermal-systems,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,"ACE Thermal Systems designs, engineers, manufactures, and supports environmental control systems (ECS) and thermal management components for aircraft, including bleed air systems, cabin pressure control systems, air conditioning systems, and related components for helicopters and fixed-wing general aviation aircraft.",Thornton,CO,"ACE Thermal Systems designs, engineers, manufactures, and supports environmental control systems (ECS) and thermal management components for aircraft, including bleed air systems, cabin pressure control systems, air conditioning systems, and related components for helicopters and fixed-wing general aviation aircraft.",high,False,ok
Acclym (part of CropX),Aerospace & Space,Tel Aviv,,Israel,yes,https://www.acclym.com/,https://www.linkedin.com/company/acclym/,https://www.crunchbase.com/organization/scantask,43,,,,,"Satellite Data | Agriculture, AgTech, Analytics, Food and Beverage, SaaS, Sustainability",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,"Multi-category signal: Communications, Compute & Networking",,Tel Aviv,,,low,True,ok
Activ Surgical,Medical Devices,Boston,MA,USA,,https://www.activsurgical.com,https://www.linkedin.com/company/activ-surgical/,https://www.crunchbase.com/organization/omniboros,42,,Omniboros,,,Medical Robotics,ALL COMPANIES MERGED ,1,,Multi-category signal: Robotics & Autonomy,"Activ Surgical develops intraoperative surgical intelligence technology, including its ActivSight Intelligent Light product, which uses augmented reality, AI, and machine learning to provide surgeons with real-time visualization of critical physiological structures and functions not visible to the naked eye.",Boston,MA,"Activ Surgical develops intraoperative surgical intelligence technology, including its ActivSight Intelligent Light product, which uses augmented reality, AI, and machine learning to provide surgeons with real-time visualization of critical physiological structures and functions not visible to the naked eye.",high,False,ok
ADC Aerospace,Aerospace & Space,,,USA,,www.adc-aerospace.com,http://www.linkedin.com/company/adc-aerospace,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,blocked_or_timeout
ACT Aerospace,Aerospace & Space,,,USA,,www.actaero.com,http://www.linkedin.com/company/act-aerospace,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,ok
Action Target,Defense,Provo,UT,USA,,https://www.actiontarget.com/,https://www.linkedin.com/company/action-target/,https://www.crunchbase.com/organization/action-target,,1986,,,,Defense,Aerospace & Defense ($10M+ reve | SPACE & DEFENSE COMPANIES | Sheet1,3,,,,Provo,UT,,low,True,ok
ACM Research,,Fremont,CA,USA,,www.acmr.com,http://www.linkedin.com/company/acm-research-inc,https://www.crunchbase.com/organization/acm-research,103,,,,,,ALL COMPANIES MERGED ,1,,No category match — needs manual review,,Fremont,CA,,low,True,ok
Adam Aircraft Industries,Aerospace & Space,Englewood,CO,USA,,http://www.adamaircraft.com/,,https://www.crunchbase.com/organization/adam-aircraft,,,,,,Aviation (Defunct),ALL COMPANIES MERGED | Aerospace & Defense ($10M+ reve,2,Shuttered.,,,Englewood,CO,,low,True,blocked_or_timeout
